Name,Title2,ProDetail,KnowledgeType,Topic,Summary,Priority,Category,CATE_CODE,Audio,CN,EN,Author,Source
Essentialism,The Disciplined Pursuit of Less,PartialReading,,Self management,,,Self-development,SDP,,,P,Greg McKeown,
Connected (大连接),,PartialReading,Hard-knowledge,Social Network,0,1,Society and Culture,SOC,,P,NA, Nicholas A Christakis &  James H Fowler,
Linked (链接),,RoughReading,Hard-knowledge,Social Network,,,Society and Culture,SOC,Audio,P,,Albert-laszlo Barabasi,
The Crowd(乌合之众),,RoughReading,Hard-knowledge,Social Psychology,0,0,Philosophy and Psychology,PPY,Audio,P,,,
he True Believer: Thoughts On The Nature Of Mass Movements (狂热分子),,RoughReading,Hard-knowledge,Social Psychology,,,Philosophy and Psychology,PPY,Audio,,,Eric Hoffer,
Mistakes Were Made But Not by Me(错不在我),,RoughReading,Hard-knowledge,Social Psychology,0,0,Philosophy and Psychology,PPY,Audio,P,,Carol Tavris & Elliot Aronson,
Changing the Conversation(解决冲突的关键技巧),,RoughReading,Fastfood-knowledge,Social Skill,0,1,Self-development,SDP,Audio,NA,NO,Dana Caspersen & Joost Elffers ,
所谓情商高，就是会说话,,RoughReading,Fastfood-knowledge,Social Skill,0,1,Self-development,SDP,Audio,,,佐佐木圭一,
The Introverted Leader (内向者的沟通圣经),,RoughReading,Fastfood-knowledge,Social Skill,0,1,Self-development,SDP,Audio,NO,NO ,Jennifer B. Kahnweiler,
Quiet: The Power of Introverts,,RoughReading,Fastfood-knowledge,Social Skill,,,Self-development,SDP,Audio,,,Susan Cain,
蔡康永的说话之道,,RoughReading,Fastfood-knowledge,Social Skill,0,1,Self-development,SDP,Audio,P,P,,
Loud & Clear (如何实现有效社交),,RoughReading,Fastfood-knowledge,Social Skill,0,1,Self-development,SDP,Audio,,,Karen Berg,
how to win friends and influence people (人性的弱点),,RoughReading,Fastfood-knowledge,Social Skill,1,0,Self-development,SDP,,,,,
安静的力量,,RoughReading,Fastfood-knowledge,Spiritual practice,0,0,Self-development,SDP,,,,,
设计思维玩转创业,,HaveNotRead,Fastfood-knowledge,Start business,0,1,Self-development,SDP,Audio,E,NA,,
简单思考,,RoughReading,Fastfood-knowledge,Start business,0,1,Self-development,SDP,,,,森川亮,
从0到1,,ThroughReading,Fastfood-knowledge,Start business,0,1,Self-development,SDP,Audio,P,NO,,
精益创业,,HaveNotRead,Fastfood-knowledge,Start business,0,1,Business & Economics & Management,BEM,Audio,P,NA,,
创业融资，从一个好故事开始,,HaveNotRead,Fastfood-knowledge,Start business,0,1,Business & Economics & Management,BEM,Audio,P,NO,,
Blitzscaling,The Lightning-Fast Path to Building Massively Valuable Companies,,,Start-up,,,Business & Economics & Management,BEM,,,P,Reid Hoffman,
Zero to One,Notes on Startups or How to Build the Future,ThroughReading,,Start-up,0,0,Business & Economics & Management,BEM,,,NO,Peter Thiel,
抗压力,,RoughReading,Fastfood-knowledge,Stress Management,0,1,Self-development,SDP,Audio,P,P,,
麦肯锡精英的思考习惯,,RoughReading,Fastfood-knowledge,Stress Management,0,1,Self-development,SDP,Audio,P,NA,,
心灵的七种兵器,,RoughReading,Fastfood-knowledge,Subconscious ,0,1,Self-development,SDP,Audio,P,NA,武志红,
孙子兵法(The Art of War),,IntensiveReading,Meta-Knowledge,Tactics,0,1,Philosophy and Psychology,PPY,,P,NA,Sun Tzu,
三十六计,,ThroughReading,Meta-Knowledge,Tactics,0,0,Philosophy and Psychology,PPY,,P,NA,,
浪潮之巅,,HaveNotRead,Fastfood-knowledge,Technology History,0,1,Society and Culture,SOC,Audio,E,P,吴军,DeDao
The Attention Merchants,,RoughReading,Hard-knowledge,The War of Attention,,,Business & Economics & Management,BEM,Audio,NO,NA,Tim Wu,
Shareology,How Sharing is Powering the Human Economy(分享时代：如何缔造影响力),RoughReading,Fastfood-knowledge,The War of Attention,0,1,Business & Economics & Management,BEM,Audio,NA,E,Bryan J Kramer ,
Known,,RoughReading,Fastfood-knowledge,The War of Attention,0,1,Business & Economics & Management,BEM,Audio,NO,NO,Mark W.Schaefer,
引爆流行,The Tipping Point,ThroughReading,Fastfood-knowledge,The War of Attention,0,1,Business & Economics & Management,BEM,Audio,P,NA,Malcolm Gladwell,
博恩·崔西的时间管理课,,HaveNotRead,Fastfood-knowledge,Time Management,0,1,Self-development,SDP,Audio,P,NA,,
每天最重要的2小时 (Two Awesome Hours),,RoughReading,Fastfood-knowledge,Time Management,1,1,Self-development,SDP,Audio,P,NA,Josh Davis,
最重要的事，只有一件,,RoughReading,Fastfood-knowledge,Time Management,0,1,Self-development,SDP,Audio,P,NO,,
Two Awesome Hours(每天最重要的2小时),,RoughReading,Fastfood-knowledge,Time Management,0,1,Self-development,SDP,Audio,NO,P,Josh Davis,
混乱(Messy: The Power of Disorder to Transform Our Lives),,RoughReading,Fastfood-knowledge,Time Management,0,1,Self-development,SDP,Audio,P,NO,Tim Harford,
重来（rework）,,ThroughReading,Fastfood-knowledge,Time Management,0,0,Self-development,SDP,,NA,P,37Signals,
从零开始学理财,,HaveNotRead,Fastfood-knowledge,Wealth Management,0,1,Self-development,SDP,Audio,P,NA,,
理财最重要的事,,RoughReading,Fastfood-knowledge,Wealth Management,0,1,Self-development,SDP,Audio,P,NA,,
Buffettology(巴菲特法则),,RoughReading,Hard-knowledge,Wealth Management,0,1,Self-development,SDP,Audio,NO,NO,Mary Buffett and David Clark,
Poor Charlie's Almanack (穷查理宝典),,RoughReading,Hard-knowledge,Wealth Management,0,1,Self-development,SDP,Audio,NO,NO,Charlie Munger,
Richest Man in Babylon(巴比伦最富有的人) ,,RoughReading,Hard-knowledge,Wealth Management,0,1,Self-development,SDP,Audio,NO,NO,George S Clason,
The Behavior Gap(理财最重要的事),,RoughReading,Hard-knowledge,Wealth Management,0,1,Self-development,SDP,Audio,NO,NO,Carl Richards,
The One-Page Financial Plan(99%的人一看就会的理财书),,RoughReading,Hard-knowledge,Wealth Management,0,1,Self-development,SDP,Audio,NO,NO,Carl Richards,
Rich Dad's Guide to Investing(富爸爸投资指南),,RoughReading,Fastfood-knowledge,Wealth Management,0,1,Self-development,SDP,Audio,NO,NO,Robert Kiyosaki and Sharon Lechter,
投资中最简单的事,,RoughReading,Fastfood-knowledge,Wealth Management,0,1,Self-development,SDP,Audio,NO,NO,邱国鹭,
The 9 Steps to Financial Freedom,,RoughReading,Fastfood-knowledge,Wealth Management,0,1,Self-development,SDP,Audio,NA,P,"Orman, Suze",
学会花钱,,RoughReading,Fastfood-knowledge,Wealth Management,,,Self-development,SDP,Audio,,,野口真人,
Personal Finance,,RoughReading,Hard-knowledge,Wealth Management,,,Self-development,SDP,Audio,,,Arthur J. Keown,
Rich Dad Poor Dad(富爸爸穷爸爸),,ThroughReading,Fastfood-knowledge,Wealth Management,0,1,Self-development,SDP,Audio,NO,NO,Robert Kiyosaki and Sharon Lechter,
The 100-Year Life(百岁人生),,RoughReading,Fastfood-knowledge,What is the future?,0,1,Society and Culture,SOC,Audio,E,NA,Andrew Scott & Lynda Gratton,
Everybody Lies,,RoughReading,Fastfood-knowledge,What the Data Can Tell Us About Who We Really Are,,,Data Science,DAT,Audio,NA,NO,Seth Stephens-Davidowitz,
Poor Economics(贫穷的本质),,RoughReading,Hard-knowledge,Why are people poor?,0,1,Society and Culture,SOC,Audio,P,NO,Abhijit Banerjee and Esther Duflo,
Willpower(意志力),,RoughReading,Hard-knowledge,Will Power/Habit,0,1,Self-development,SDP,Audio,P,NA,Roy F. Baumeister & John Tierney,
The Power of Habit(习惯的力量),,RoughReading,Hard-knowledge,Will Power/Habit,0,1,Self-development,SDP,Audio,,,Charles Duhigg,
Mini Habits (微习惯),,RoughReading,Fastfood-knowledge,Will Power/Habit,,,Self-development,SDP,Audio,,,Stephen Guise,
坚持，一种可以养成的习惯,,RoughReading,Fastfood-knowledge,Will Power/Habit,,,Self-development,SDP,Audio,,,古川武士,
从行动开始,,RoughReading,Fastfood-knowledge,Will Power/Habit,,,Self-development,SDP,Audio,,,石田淳,
The Willpower Instinct(自控力),,ThroughReading,Hard-knowledge,Will Power/Habit,0,1,Self-development,SDP,Audio,NA,P,Kelly McGonigal,
The World Atlas of Wine 7th,,ReferenceBook,Hard-knowledge,Wine,0,0,Art,ART,,E,NO,Hugh Johnson,
The Clash of Civilizations (文明的冲突),,RoughReading,Hard-knowledge,World Civilization,0,1,Society and Culture,SOC,Audio,P,NA,Samuel Huntington,
人情与面子,,PartialReading,Hard-knowledge,Worldly wisdom,0,0,Society and Culture,SOC,,,,黄光国,
The Secret Handshake,Mastering the Politics of the Business Inner Circle,HaveNotRead,,Worldly wisdom,0,0,Self-development,SDP,,NA,P,Kathleen Kelly Reardon,
The Shadow Negotiation,How Women Can Master the Hidden Agendas That Determine Bargaining Success,HaveNotRead,,Worldly wisdom,0,0,Self-development,SDP,,NA,P, Deborah Kolb,
What Leaders Really Do,,HaveNotRead,,Worldly wisdom,0,0,Self-development,SDP,,NA,P, John P Kotter,
Dealing with Difficult People,,HaveNotRead,,Worldly wisdom,0,0,Self-development,SDP,,P,NA,Sandra A Crowe,
Corporate Confidential: 50 Secrets Your Company Doesn't Want You to Know---and What to Do About Them,,ThroughReading,,Worldly wisdom,0,0,Self-development,SDP,,E,NO, Cynthia Shapiro,
Nice Girls Don't Get the Corner Office: 101 Unconscious Mistakes Women Make That Sabotage Their Careers,,ThroughReading,,Worldly wisdom,0,0,Self-development,SDP,,P,NA, Lois P Frankel,
Getting Ahead: Three Steps to Take Your Career to the Next Level,,ThroughReading,,Worldly wisdom,0,0,Self-development,SDP,,NA,P, Joel A Garfinkle,
闲看水浒：字缝里的梁山规则与江湖世界,,ThroughReading,,Worldly wisdom,0,0,Other,OTH,,E,P,,
成功的真谛,,RoughReading,Fastfood-knowledge,稻盛和夫哲学,0,1,Self-development,SDP,Audio,P,NA,稻盛和夫,
Taming Text: How to Find Organize and Manipulate It,,HaveNotRead,,,0,0,Statistics,STAT,,,,Grant S. Ingersoll,
Modern Optimization with R,,HaveNotRead,,,0,0,Statistics,STAT,,,, Paulo Cortez,
R for Marketing Research and Analytics ,,IntensiveReading,,,0,0,Statistics,STAT,,,, Christopher N. Chapman,
Applied Predictive Modeling,,IntensiveReading,,,0,0,Statistics,STAT,,,,Max Kuhn & Kjell Johnston,
Advanced R,,PartialReading,,,0,0,Statistics,STAT,,,,Hadley Wickham,
Bayesian Data Analysis,,PartialReading,,,0,0,Statistics,STAT,,,, Andrew Gelman,
XML and Web Technologies for Data Sciences with R,,PartialReading,,,0,0,Statistics,STAT,,,, Deborah Nolan,
Latent Variable Modeling with R,,PartialReading,,,0,0,Statistics,STAT,,,, W. Holmes Finch,
Learning Spark: Lightning-Fast Big Data Analysis,,PartialReading,,,0,0,Statistics,STAT,,,, Holden Karau,
Natural Language Processing with Python,,PartialReading,,,0,0,Statistics,STAT,,,,Steven Bird,
Statistical Analysis of Network Data with R,,PartialReading,,,0,0,Statistics,STAT,,,,Eric D. Kolaczyk,
Pattern Recognition and Machine Learning 1st Edition,,PartialReading,,,0,0,Statistics,STAT,,,,Christopher M. Bishop,
Design of Experiments: An Introduction Based on Linear Models,,PartialReading,,,0,0,Statistics,STAT,,,,Max Morris,
Model Assisted Survey Sampling,,PartialReading,,,0,0,Statistics,STAT,,,, Carl-Erik Särndal,
时间序列,,PartialReading,,,0,0,Statistics,STAT,,,,,
Human side of statistical consulting,,PartialReading,,,0,0,Statistics,STAT,,,,,
Measure Theory and Probability Theory,,PartialReading,,,0,0,Statistics,STAT,,,,Krishna B. Athreya,
Probabilistic Graphical Models: Principles and Techniques,,PartialReading,,,0,0,Statistics,STAT,,,, Daphne Koller,
R Packages,,PartialReading,,,0,0,Statistics,STAT,,,, Hadley Wickham,
Data Analysis Using Regression and Multilevel/Hierarchical Models ,,PartialReading,,,0,0,Statistics,STAT,,,,Andrew Gelman,
Applied Statistics: A Handbook of Techniques ,,PartialReading,,,0,0,Statistics,STAT,,,, Lothar Sachs,
Foundations of Statistical Natural Language Processing,,PartialReading,,,0,0,Statistics,STAT,,,,Christopher D. Manning,
An Introduction to Statistical Learning,,PartialReading,,,0,0,Statistics,STAT,,,,  T. Hastie D. Witten &  G. James  Tibshirani,
Statistical Rethinking: A Bayesian Course with Examples in R and Stan,,PartialReading,,,0,0,Statistics,STAT,,,, Richard McElreath,
Causality: Models Reasoning and Inference,,PartialReading,,,0,0,Statistics,STAT,,,,Judea Pearl,
Sentiment Analysis,,PartialReading,,,0,0,Statistics,STAT,,,,Bing Liu,
Advances in Longitudinal Methods in the Social and Behavioral Sciences ,,ReferenceBook,,,0,0,Statistics,STAT,,,, Jeffrey R Harring,
Handbook of Structural Equation Modeling ,,ReferenceBook,,,0,0,Statistics,STAT,,,, Rick H Hoyle,
Mastering Regular Expressions,,ReferenceBook,,,0,0,Statistics,STAT,,,, Jeffrey E. F. Friedl,
Regular Expressions Cookbook,,ReferenceBook,,,0,0,Statistics,STAT,,,, Jan Goyvaerts,
Regular Expression Pocket Reference: Regular Expressions for Perl  Ruby  PHP  Python C  Java and .NET ,,ReferenceBook,,,0,0,Statistics,STAT,,,,Tony Stubblebine,
概率论,,ThroughReading,,,0,0,Statistics,STAT,,,,,
statistical inference,,ThroughReading,,,0,0,Statistics,STAT,,,,,
技术奇点,,HaveNotRead,Fastfood-knowledge,,0,1,Society and Culture,SOC,Audio,P,NO,,DeDao
第二性,,HaveNotRead,Hard-knowledge,,0,1,Society and Culture,SOC,Audio,P,NO,,
不平等的代价,,HaveNotRead,Hard-knowledge,,0,1,Society and Culture,SOC,Audio,P,NO,,
理性选民的神话,,HaveNotRead,,,0,1,Society and Culture,SOC,Audio,NA,P,,
智能时代,,HaveNotRead,Fastfood-knowledge,,0,1,Society and Culture,SOC,Audio,P,P,,
文明是副产品,,HaveNotRead,,,0,0,Society and Culture,SOC,,NO,P,郑也夫,
图说中国文化——图说中国舞蹈,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
明日之中国文化:中印欧文化十讲,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
图说天下·国家地理系列(2)-黄金典藏版.欧洲(Geography of Europe),,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
图说天下·国家地理系列(2)-黄金典藏版.亚洲大洋洲(Geography of Asia and Oceania),,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
A G-MAN'S LIFE: The FBI  Being 'Deep Throat'  and The Struggle For Honor in Washington,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,Mark Felt,
The Traditional Chinese Festival And Tales,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
欧洲文化史(European Culture History),,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
惊世骇俗的另类幽默经典:魔鬼辞典 (Haven't gotten the English version),,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
岩松看美国,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
中国人最易误解的文史常识,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
南怀瑾讲述--漫谈中国文化,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
林语堂文集——美国的智慧(精装),,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
林语堂文集——印度的智慧(精装),,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
茶文化系列丛书--茶香美食,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
客厅文库休闲读物——雪茄 ,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
中国民俗文化丛书——玩具（弘扬中国传统文化 建设民族精神家园） ,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
漩涡·文化系列——婚俗与中国传统文化 ,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
家庭书架——话说中国人之三教九流,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
先民的歌唱-诗经,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
阅读城市,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
中国文化杂说-茶酒文化卷,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
中华民俗文化丛书：拱手·鞠躬·跪拜,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
中华民俗文化丛书：车马·溜索·滑竿,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
中华民俗文化丛书：猜拳·博戏·对舞,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
中华民俗文化丛书：姻缘·良缘·孽缘,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
中华民俗文化丛书：姓氏·名号·别称,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
中华民俗文化丛书：掮客·行商·钱庄,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
唐宋八大家集,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
The Descent of Woman: The Classic Study of Evolution ,,HaveNotRead,,,0,0,Society and Culture,SOC,,,, Elaine Morgan,
支配社会学,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,韦伯,
中国国民性演变历程,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,张宏杰,
技术元素(The Technium),,HaveNotRead,,,0,0,Society and Culture,SOC,,,,Kevin Kelly,
中国传统节日及传说,,HaveNotRead,,,0,0,Society and Culture,SOC,,,,,
Amusing ourselves to death (娱乐至死),,PartialReading,Hard-knowledge,,1,1,Society and Culture,SOC,Audio,P,NA,Nell Postman,
不顾诸神：现代印度的奇怪崛起,,PartialReading,,,0,0,Society and Culture,SOC,,NO,P,,
图解中国茶经,,PartialReading,,,0,0,Society and Culture,SOC,,P,NA,,
图说天下·国家地理系列-全球最美的100个地方,The top 100 beautiful places in the world,PartialReading,,,0,0,Society and Culture,SOC,,P,NA,,
话说中国大风一曲振河山,,PartialReading,,,0,0,Society and Culture,SOC,,P,NO,,
客厅文库休闲读物——礼品事典 ,,PartialReading,,,0,0,Society and Culture,SOC,,P,NA,,
实学简史（经典插图本）,,PartialReading,,,0,0,Society and Culture,SOC,,NO,P,,
组织行为学,,PartialReading,,,0,0,Society and Culture,SOC,,NA,P,边一民&徐力 etc,
文人谈饮食,,PartialReading,,,0,0,Society and Culture,SOC,,NA,P,,
诸神的争吵:国际冲突中的宗教根源,,PartialReading,,,0,0,Society and Culture,SOC,,,,,
酱缸——搅动看真相,,PartialReading,,,0,0,Society and Culture,SOC,,,,柏杨,
性学十三讲,,PartialReading,,,0,0,Society and Culture,SOC,,,,,
不确定性(Uncertainty),,PartialReading,,,0,0,Society and Culture,SOC,,E,P,Mitchell Small,
科技想要什么 (What Technology Wants),,RoughReading,Hard-knowledge,,0,1,Society and Culture,SOC,Audio,P,NA,Kevin Kelly,
失控(Out of Control),,RoughReading,Hard-knowledge,,0,1,Society and Culture,SOC,Audio,P,NA,Kevin Kelly,
Empire and Communications (帝国与传播),,RoughReading,Hard-knowledge,,,,Society and Culture,SOC,Audio,P,NA,Harold Innis,
美国大城市的死于生,,RoughReading,Hard-knowledge,,0,0,Society and Culture,SOC,,,,Jane Jacobs,
The Death and Life of Great American Cities,,RoughReading,Hard-knowledge,,0,0,Society and Culture,SOC,,,,Jacobs J,
The European coffeehouse culture,,ThroughReading,,,0,0,Society and Culture,SOC,,P,NA,,
Much depends on dinner,,ThroughReading,,,0,0,Society and Culture,SOC,,,,Margaret Visser ,
你如此需要安慰——关于爱的对话 ,,ThroughReading,,,0,0,Society and Culture,SOC,,,,李银河,
The Chrysanthemum and the Sword ,,ThroughReading,,,0,0,Society and Culture,SOC,,,,Pauling Kent ,
FBI教你破解身体语言,,ThroughReading,,,0,0,Society and Culture,SOC,,,,,
揭秘美国医疗制度及其相关行业,,ThroughReading,,,0,0,Society and Culture,SOC,,,,,
中国人的精神,,ThroughReading,,,0,0,Society and Culture,SOC,,,,辜鸿铭,
书写的神话：西方文化中的文学,,ThroughReading,,,0,0,Society and Culture,SOC,,,,,
知道点：世界文化 (World Culture),,ThroughReading,,,0,0,Society and Culture,SOC,,,,,
八大胡同捌章,,ThroughReading,,,0,0,Society and Culture,SOC,,,,,
聆听西藏-以图片的方式 ,,ThroughReading,,,0,0,Society and Culture,SOC,,,,,
京城胡同留真,,ThroughReading,,,0,0,Society and Culture,SOC,,,,,
潜规则：中国历史中的真实游戏,,ThroughReading,,,0,0,Society and Culture,SOC,,,,,
隐蔽的秩序,,ThroughReading,,,0,0,Society and Culture,SOC,,,,,
与机器赛跑,,ThroughReading,,,0,0,Society and Culture,SOC,,,,,
Discipline and Punish (规训与惩罚),,HaveNotRead,Hard-knowledge,,,,Society and Culture,SOC,Audio,P,,Michel Foucault ,
Selfie,How We Became So Self-Obsessed and What It's Doing to Us,PartialReading,,,,,Society and Culture,SOC,,,P,Will Storr,
Everybody Lies,"Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are",PartialReading,,,,,Society and Culture,SOC,,,P,Seth Stephens-Davidowitz,
你的团队需要一个会讲故事的人,,HaveNotRead,,,0,1,Self-development,SDP,Audio,P,NA,,
沃顿商学院最受欢迎的成功课,,HaveNotRead,,,0,1,Self-development,SDP,Audio,P,NO,,
说真话的艺术(Telling each other the truth),,HaveNotRead,,,0,0,Self-development,SDP,,NO,P,William Backus,
细节营销(Marketing Revealed: Challenging the Myths),,HaveNotRead,,,0,0,Self-development,SDP,,NO,P,Willem Burgers,
看清你的思维图谱 (Thinking Visually),,HaveNotRead,,,0,0,Self-development,SDP,,NA,P,Malcolm Craig,
品红酒(The taste of red wine),,HaveNotRead,,,0,0,Self-development,SDP,,NA,P,Louis Guillem,
How To Solve It: A New Aspect of Mathematical Method,,HaveNotRead,Meta-Knowledge,,0,0,Self-development,SDP,,NA,P,George Polya,
The Joy of Reading: A Passionate Guide to 189 of the World's Best Authors and Their Works,,HaveNotRead,,,0,0,Self-development,SDP,,NA,P,Charles Van Doren,
Suze Orman's Financial Guidebook: Put the 9 Steps to Work,,HaveNotRead,,,0,0,Self-development,SDP,,NO,P,"Orman, Suze",
低智商社会,,PartialReading,,,0,0,Self-development,SDP,,P,NA,大前研一,
专业主义,,PartialReading,,,0,0,Self-development,SDP,,P,NA,大前研一,
Thing Explainer: Complicated Stuff in Simple Words,,PartialReading,,,0,0,Self-development,SDP,,NA,P,Randall Munroe,
The Monographs,,PartialReading,,,0,0,Self-development,SDP,,NA,P,Ben Cardall,
Success and Luck: Good Fortune and the Myth of Meritocracy (成功与运气),,RoughReading,Hard-knowledge,,0,1,Self-development,SDP,Audio,NO,NO,Robert H. Frank,
愚昧者的愚昧,,RoughReading,Fastfood-knowledge,,0,1,Self-development,SDP,Audio,P,NO,,
Secrets to Winning at Office Politics: How to Achieve Your Goals and Increase Your Influence at Work,,ThroughReading,,,0,0,Self-development,SDP,,P,NA,Marie G. McIntyre,
Simply your work life,,ThroughReading,,,0,0,Self-development,SDP,,P,NA,Elaine St. James,
微动作读心术,,ThroughReading,,,0,0,Self-development,SDP,,E,NA,,
微表情读心术 ,,ThroughReading,,,0,0,Self-development,SDP,,E,P,,
微反应读心术,,ThroughReading,,,0,0,Self-development,SDP,,E,NA,,
软能力,,ThroughReading,,,0,0,Self-development,SDP,,NA,P,,
心理操纵术,,ThroughReading,,,0,0,Self-development,SDP,,NA,P,,
好好修养爱,,ThroughReading,,,0,0,Self-development,SDP,,NA,P,,
两个人的孤独,,ThroughReading,,,0,0,Self-development,SDP,,NA,P,,
赢,,ThroughReading,,,0,0,Self-development,SDP,,NA,P,,
好好爱自己,,ThroughReading,,,0,0,Self-development,SDP,,NA,P,素黑,
把时间当作朋友,,ThroughReading,,,0,0,Self-development,SDP,,NA,P,李笑来,
Asking the Right Questions: A Guide to Critical Thinking 9th Edition,,ThroughReading,,,0,0,Self-development,SDP,,NA,P,M. Neil Browne,
How to be Heard,Secrets for Powerful Speaking and Listening,,,,,,Self-development,SDP,,,P,Julian Treasure,
大藏经,,HaveNotRead,,,0,0,Religion,REL,,P,NA,,
佛教各宗派小丛书——天台宗概说,,HaveNotRead,,,0,0,Religion,REL,,P,NA,,
中国佛教图鉴（通览中国佛教二千年历史）,,HaveNotRead,,,0,0,Religion,REL,,P,NO,,
答问青壮年参禅者,,HaveNotRead,,,0,0,Religion,REL,,P,P,,
宗教教义与社会演化,,HaveNotRead,,,0,0,Religion,REL,,P,NA,Niklas luhmann ,
单纯理性限度内的宗教(Religion Within the Boundaries of Mere Reason),,HaveNotRead,,,0,0,Religion,REL,,P,NA,Kant,
神学的科学(Theological Science) ,,HaveNotRead,,,0,0,Religion,REL,,P,NA,Thomas F. Torrance,
无形的宗教:现代社会中的宗教问题 ,,HaveNotRead,,,0,0,Religion,REL,,P,NA,T. Luckmann,
神学研究:一种百科全书式的定位,,HaveNotRead,,,0,0,Religion,REL,,P,NA,G.Ebeling,
宝积经,,HaveNotRead,,,0,0,Religion,REL,,P,NA,,
3:16 Bible Texts Illuminated,,HaveNotRead,,,0,0,Religion,REL,,P,NA,Donald E Knuth,
南怀瑾说佛:现代学佛者,,PartialReading,,,0,0,Religion,REL,,P,NA,,
中国佛学经典文库——禅诗精选（高僧卷）,,PartialReading,,,0,0,Religion,REL,,E,NA,,
基督的二性 ,,PartialReading,,,0,0,Religion,REL,,P,NA,马丁.开姆尼茨,
The Jesus I Never Knew,,PartialReading,,,0,0,Religion,REL,,P,NA,Philip Yancey,
Who Is This Man?,,PartialReading,,,0,0,Religion,REL,,P,NA,John Ortberg,
The case for faith,,PartialReading,,,0,0,Religion,REL,,P,NA,Lee Strobel,
Moses: In the Footsteps of the Reluctant Prophet,,PartialReading,,,0,1,Religion,REL,,P,NO,Adam Hamilton,
天使的传言,,ThroughReading,,,0,0,Religion,REL,,P,NA,,
西藏生死书(The Tibet Book of Live and Death),,ThroughReading,,,0,0,Religion,REL,,P,NA,索甲仁波切,
The Call,,ThroughReading,,,0,0,Religion,REL,,P,NA,Adam Hamilton,
24 Hours that changed the world,,ThroughReading,,,0,0,Religion,REL,,P,NA,Adam Hamilton,
Christian and World Religions,,ThroughReading,,,0,0,Religion,REL,,P,NA,Adam Hamilton,
Things a Computer Scientist Rarely Talks About,,ThroughReading,,,0,0,Religion,REL,,P,NA,Donald E Knuth,
The Trouble with the Truth: Balancing Truth and Grace,,ThroughReading,,,0,0,Religion,REL,,P,NA,Rob Renfroe,
瓦尔登湖,,HaveNotRead,,,0,0,Proses Essays and Poems,PEP,,P,NO,,
The Collection of Gibran's Poems,,HaveNotRead,,,0,0,Proses Essays and Poems,PEP,,P,NA,,
新月集,,HaveNotRead,,,0,0,Proses Essays and Poems,PEP,,P,NA,,
当时只道是寻常,,HaveNotRead,,,0,0,Proses Essays and Poems,PEP,,P,NA,,
A collection of Qian Zhongshu's English essays,,HaveNotRead,,,0,0,Proses Essays and Poems,PEP,,P,NO,钱钟书,
钱钟书集——谈艺录,,HaveNotRead,,,0,0,Proses Essays and Poems,PEP,,P,NO,钱钟书,
Essays of Elia ,,HaveNotRead,,,0,0,Proses Essays and Poems,PEP,,P,NA,Charles Lamb,
中国现代诗选(Model Chinese Poems),,HaveNotRead,,,0,0,Proses Essays and Poems,PEP,,P,P,,
走了一万一千里路——顾城首度面世的诗手稿,,HaveNotRead,,,0,0,Proses Essays and Poems,PEP,,P,NA,顾城,
斑纹——兽皮上的地图(a collection of proses),,HaveNotRead,,,0,0,Proses Essays and Poems,PEP,,P,NO,,
当代散文大家精品文库——二月兰,,HaveNotRead,,,0,0,Proses Essays and Poems,PEP,,P,NA,,
2005年中国散文精选,,HaveNotRead,,,0,0,Proses Essays and Poems,PEP,,P,P,,
嫁衣之纫,,HaveNotRead,,,0,0,Proses Essays and Poems,PEP,,P,NO,,
七缀集,,HaveNotRead,,,0,0,Proses Essays and Poems,PEP,,P,NA,,
